Parent X. Child Weight Probability
e2f7 -> ndc80 0.296004 1
e2f7 -> rad51 0.295799 1
znhit3 -> slc29a2 0.295754 1
esco2 -> chtf18 0.295647 1
pbk -> chaf1a 0.295623 1
si:dkey-185e18.7 -> zgc:153405 0.295496 1
socs7 -> si:dkey-261m9.12 0.295311 1
e2f8 -> rad51 0.295292 1
mki67 -> hexb 0.295125 1
cdca7b -> zgc:136564 0.295106 1
spc24 -> ube2t 0.294799 1
zgc:110224 -> hexb 0.294416 1
pbk -> ncapd2 0.2944 1
haus5 -| haus1 -0.294332 1
si:dkey-261m9.17 -| ncapg2 -0.294326 1
erg -| si:dkey-261m9.17 -0.293941 1
spc24 -> si:ch211-113a14.18 0.293763 1
aurkb -> atad5a 0.293488 1
csf3r -> si:ch73-237c6.1 0.293487 1
mgst2 -| cenpn -0.293067 1
cfp -> si:dkey-204f11.64 0.293019 1
krcp -> zgc:86764 0.292913 1
krcp -> haus1 0.292284 1
slc25a15a -> csf1rb 0.292271 1
thyn1 -> dsn1 0.292139 1
aurkb -> rad51 0.292048 1
slc3a2a -> cmklr1 0.291769 1
pdcd2l -> cbsa 0.291622 1
cenpn -> zgc:136564 0.291239 1
esco2 -> thyn1 0.29111 1
cbsa -> spc25 0.290046 1
pfn1 -| fli1b -0.289538 1
thyn1 -> smc4 0.28831 1
fam107b -> si:dkey-188i13.7 0.287085 1
ms4a17a.6 -> runx1 0.28699 1
tcea3 -> atic 0.286509 1
cdkn2d -> mis12 0.28641 1
e2f8 -> chtf18 0.286273 1
zgc:153405 -| si:ch211-161h7.4 -0.285891 1
zgc:173552 -> im:6904482 0.285883 1
chaf1a -> smc2 0.285656 1
tcea3 -> pus1 0.285614 1
cenpk -> grap2a 0.285036 1
aurkb -> esco2 0.284989 1
prc1b -> itgb2 0.283896 1
hells -> zgc:86764 0.283719 1
ssuh2rs1 -> ncf2 0.283293 1
ncaph -> itgae.1 0.282667 1
chaf1a -> ube2t 0.282356 1
itga2b -| gata2a -0.282154 1
krcp -> smc2 0.282132 1
pbk -> metap1 0.281756 1
ponzr1 -> grap2a 0.281512 1
primpol -> zgc:136564 0.280947 1
cdca7b -> chtf18 0.280686 1
thyn1 -> itgb2 0.280467 1
rap1b -| nadk2 -0.280435 1
mad2l1 -> si:ch211-113a14.18 0.280399 1
chchd10 -> atic 0.280313 1
nkain1 -> si:ch211-266i6.3 0.280291 1
tcea3 -> tyw3 0.280121 1
ncapd2 -| aurkb -0.279904 1
mad2l1 -> smc2 0.279283 1
anxa1a -| ncf2 -0.27901 1
cdk6 -| LOC100334934 -0.278983 1
lygl1 -> nadk2 0.278957 1
si:dkey-185e18.7 -> si:dkey-261m9.12 0.278899 1
cdc6 -| cenpk -0.278897 1
mafba -> si:dkey-5n18.1 0.278595 1
anxa1a -| grap2a -0.278247 1
wdr74 -> chchd10 0.277978 1
si:dkey-261m9.17 -| mnd1 -0.277973 1
grn1 -> cdk6 0.277569 1
si:dkey-1h24.6 -> zgc:162184 0.277347 1
slc2a6 -> si:dkey-22a1.3 0.277309 1
poln -| spc25 -0.277265 1
zgc:86764 -> thyn1 0.277264 1
pcbd1 -| haus5 -0.277012 1
csf3r -> apol1 0.276748 1
zgc:110540 -> top2a 0.276428 1
chaf1a -> primpol 0.274894 1
slc25a15a -> vrk2 0.274324 1
cdkn2d -> si:ch211-161h7.4 0.274113 1
si:ch211-113a14.28 -> e2f7 0.273912 1
mylk5 -> si:dkey-106l3.6 0.272951 1
c24h7orf50 -| pbk -0.272913 1
c24h7orf50 -| si:ch211-113a14.22 -0.272776 1
tcea3 -> mgst2 0.272716 1
ncaph2 -> znhit3 0.272642 1
haus5 -| ncapg2 -0.272559 1
slc2a6 -> nkain1 0.271768 1
apex1 -> nadk2 0.271538 1
e2f8 -> esco2 0.271478 1
ncaph -| pus1 -0.271335 1
mnd1 -> znhit3 0.27112 1
aurkb -> e2f7 0.27078 1
si:ch73-90p23.1 -> slmapb 0.2702 1
gata1b -> lamb1b 0.270115 1
chaf1a -> ncaph 0.270004 1
esco2 -> chchd10 0.269692 1
gnai2b -> grap2a 0.269259 1
tyms -| mki67 -0.269129 1
rrm2 -> zgc:153405 0.268854 1
atad5a -| slc29a2 -0.268605 1
prc1b -> moxd1 0.268081 1
anxa1a -| si:dkey-56i24.1 -0.267946 1
primpol -> mis12 0.26771 1
LOC100334934 -> n6amt2 0.267469 1
primpol -> e2f8 0.267401 1
amt -> pcbd1 0.267174 1
ube2t -| slc29a2 -0.267141 1
si:dkey-22a1.3 -| mettl1 -0.266984 1
aurkb -> si:dkey-261m9.17 0.266834 1
top2a -> mis18a 0.266822 1
znhit3 -> esco2 0.26656 1
ncf2 -| rad51 -0.266441 1
gata2b -| grap2a -0.26637 1
zgc:110224 -> chtf18 0.266338 1
ccna2 -| zgc:86764 -0.266196 1
hook1 -> galm 0.265581 1
ssuh2rs1 -> cth 0.265336 1
prc1b -> grna 0.264707 1
si:dkey-185e18.7 -> mis12 0.264282 1
si:dkey-185e18.7 -> top2a 0.264069 1
tat -> fam107b 0.263656 1
chaf1a -> si:ch211-161h7.4 0.263039 1
znhit3 -> cdc6 0.262975 1
mrps35 -> tomm40l 0.262937 1
nsl1 -| ube2t -0.262757 1
stmn1a -> pus1 0.262411 1
esco2 -> e2f8 0.262395 1
aga -> mgst2 0.262387 1
soul5 -| ncaph -0.261985 1
cdkn2d -> ncaph 0.261839 1
pfn1 -| sftpbb -0.261779 1
ssuh2rs1 -> tat 0.261774 1
si:dkey-6i22.5 -| apex1 -0.261102 1
slc25a15a -> ccr9a 0.261021 1
esco2 -> si:dkey-261m9.17 0.260779 1
si:dkey-108k21.10 -| haus5 -0.26028 1
znhit3 -> mrc1b 0.260215 1
zgc:86764 -> atic 0.260109 1
hells -> si:dkey-261m9.17 0.259881 1
tcea3 -> mthfd1b 0.259541 1
cmklr1 -> si:ch73-237c6.1 0.259086 1
spc24 -| chaf1b -0.258818 1
pane1 -> ccna2 0.25869 1
si:dkey-185e18.7 -| cdc6 -0.258273 1
primpol -> esco2 0.258219 1
gng12a -> chtf18 0.257512 1
aurkb -> si:ch211-161h7.4 0.257328 1
ssuh2rs1 -> cbsa 0.257248 1
prim1 -| eef1a1l1 -0.257241 1
si:dkey-257i7.5 -> nkain1 0.25723 1
c1qa -> gpr84 0.256606 1
ssuh2rs1 -> si:dkeyp-87d8.8 0.256556 1
tcea3 -> si:dkey-56i24.1 0.256323 1
gnai2b -> thyn1 0.255809 1
si:dkey-6i22.5 -| nsl1 -0.255778 1
primpol -> ncapg2 0.255757 1
tcea3 -> mnd1 0.255642 1
cdkn2d -> nsl1 0.255483 1
dtymk -> cdc6 0.254889 1
cenph -| si:ch211-266i6.3 -0.254752 1
cenpn -> kif15 0.254738 1
pdcd2l -> gabrp 0.2546 1
LOC100334934 -> zgc:86764 0.254311 1
si:dkey-172j4.3 -> dicp2.1 0.254295 1
pcbd1 -| ncaph2 -0.254051 1
si:dkey-185e18.7 -> si:ch211-113a14.18 0.253948 1
mettl1 -| lig1 -0.253625 1
cdkn2d -> si:ch211-113a14.18 0.253589 1
pdcd2l -> si:ch211-18i17.2 0.253438 1
adoa -> nkain1 0.253198 1
ube2t -| mrps35 -0.253049 1
nsun3 -> LOC100536757 0.253021 1
pane1 -> zgc:86764 0.252835 1
atic -> ube2t 0.252719 1
haus5 -| n6amt2 -0.252551 1
prc1b -| si:ch211-266i6.3 -0.252208 1
ncapd2 -| kif15 -0.252048 1
nsl1 -| esco2 -0.251454 1
ncaph -| c24h7orf50 -0.251194 1
hells -> primpol 0.251033 1
mgst2 -| zgc:136564 -0.25062 1
gtse1 -> e2f8 0.25047 1
nsl1 -> ncaph 0.250324 1
gtse1 -> nsl1 0.249939 1
zgc:110224 -| mis12 -0.249575 1
primpol -> itgb2 0.249326 1
rap1b -| thyn1 -0.249181 1
n6amt2 -> fli1b 0.249095 1
slc2a6 -> rrm2 0.248745 1
erg -| si:dkey-108k21.10 -0.248735 1
pane1 -> spc25 0.248688 1
cbsa -> mthfd1b 0.248562 1
runx1 -> si:ch211-113a14.22 0.24801 1
atad5a -| ncapg2 -0.247857 1
si:dkey-22a1.3 -| chaf1b -0.247739 1
n6amt2 -> c24h7orf50 0.247599 1
aga -> soul5 0.247525 1
si:dkey-188i13.7 -> zgc:173915 0.247378 1
metrn -> haus5 0.247211 1
si:dkey-185e18.7 -> si:dkey-6i22.5 0.246975 1
c24h7orf50 -| cenph -0.246734 1
krcp -> si:dkey-261m9.12 0.246702 1
aurkb -> thyn1 0.246117 1
atp1a3a -> atp1a3a 0.245759 1
cox8b -> mafba 0.24574 1
aurkb -> cenph 0.245594 1
c24h7orf50 -| dsn1 -0.245263 1
rap1b -| atic -0.245047 1
mrc1b -> zgc:173552 0.245011 1
pus1 -| slc29a2 -0.244995 1
mnd1 -> atad5a 0.244779 1
soul5 -| zgc:173552 -0.244705 1
galm -| fam107b -0.244698 1
chaf1a -> chtf18 0.244617 1
lig1 -> ncapg2 0.244377 1
chaf1a -> si:dkey-6i22.5 0.244206 1
tirap -| si:dkey-188i13.7 -0.244177 1
tfb1m -| si:ch211-161h7.4 -0.243857 1
mki67 -> fam107b 0.243477 1
pdcd2l -> gata2b 0.243462 1
si:dkey-108k21.10 -| vwf -0.243359 1
mnd1 -> e2f8 0.242842 1
spc24 -> si:dkey-261m9.17 0.242758 1
LOC100334934 -> ube2t 0.242343 1
ndc80 -| rad51 -0.242251 1
znhit3 -> txn 0.242051 1
mad2l1 -> si:ch211-266i6.3 0.241992 1
cenpk -> cdc6 0.241839 1
cox8b -> grna 0.241546 1
LOC100148591 -> si:dkey-56i24.1 0.241512 1
pcbd1 -| esco2 -0.241326 1
znhit3 -> zgc:110340 0.240708 1
si:dkey-185e18.7 -> zgc:136564 0.240298 1
nsl1 -> zgc:110216 0.239704 1
vrk2 -| cdca7b -0.239474 1
ddit4 -> cbsa 0.239172 1
chchd10 -> ssuh2rs1 0.23906 1
zgc:110216 -| zgc:110224 -0.238672 1
atad5a -| chtf8 -0.238404 1
gig2q -> si:ch211-39k3.2 0.238381 1
si:dkey-172j4.3 -> apol1 0.238366 1
top2a -| tomm40l -0.238174 1
gata2b -> txn 0.238115 1
ndc80 -| si:dkey-6i22.5 -0.237783 1
spc25 -> ncapg2 0.237427 1
anxa1a -| dachd -0.237353 1
stmn1a -> si:dkey-6i22.5 0.237349 1
cenpn -> poln 0.237252 1
si:dkey-108k21.10 -| nsl1 -0.236924 1
si:dkey-185e18.7 -> si:dkey-261m9.17 0.236725 1
slc29a2 -| cdc6 -0.236497 1
si:dkey-22a1.3 -| n6amt2 -0.236207 1
wdr74 -> znhit3 0.236128 1
cks1b -| pbk -0.236061 1
si:ch73-40i7.2 -| ddit4 -0.235955 1
tat -> soul5 0.235466 1
dennd2da -| tfb1m -0.235455 1
hook1 -> si:dkey-261m9.12 0.235321 1
e2f7 -> esco2 0.235288 1
c24h7orf50 -| ncaph -0.235172 1
pbk -> atad5a 0.234685 1
fli1b -> runx1 0.234513 1
LOC100334934 -> wdr74 0.234489 1
e2f8 -> haus5 0.234465 1
tcea3 -> galm 0.234395 1
ncapg2 -> si:dkey-261m9.17 0.234129 1
znhit3 -> si:dkey-5n18.1 0.233719 1
slc25a15a -> mylk5 0.233461 1
ms4a17a.10 -> cyb5r2 0.233358 1
pbk -> si:ch211-161h7.4 0.233253 1
rpa3 -> si:dkey-6i22.5 0.232955 1
pdcd2l -> tirap 0.232682 1
pbk -> si:dkey-261m9.17 0.232644 1
tat -| rad51 -0.232592 1
gnai2b -> si:dkey-56i24.1 0.232573 1
slc29a2 -> znhit3 0.232256 1
poln -> tfb1m 0.231876 1
stmn1a -> nsl1 0.231249 1
phkg1a -| fli1b -0.231146 1
pdcd2l -> tcea3 0.231139 1
smc2 -> zgc:173915 0.230883 1
cd74b -> si:dkeyp-9d4.2 0.230136 1
c24h7orf50 -| si:ch211-113a14.18 -0.229738 1
cox8b -> zgc:173915 0.229579 1
ssuh2rs1 -| zgc:136564 -0.229332 1
vwf -> LOC100536757 0.229289 1
pbk -> si:ch211-113a14.18 0.229181 1
ncapg2 -| chtf8 -0.229167 1
cdca7b -| cdkn2d -0.229024 1
gtse1 -> haus5 0.228592 1
cbsa -> si:dkey-106l3.6 0.228254 1
ncapd2 -| ncaph -0.228096 1
ncf2 -| thyn1 -0.228016 1
nkain1 -> galm 0.22726 1
LOC100536757 -> cenpn 0.226581 1
ube2t -| si:ch211-161h7.4 -0.226571 1
poln -| ube2t -0.226567 1
tcea3 -| pcbd1 -0.226413 1
anxa1a -> prc1b 0.226246 1
krcp -> nsl1 0.22621 1
c1qa -> wdr74 0.225952 1
ndc80 -| primpol -0.225865 1
si:dkey-22a1.3 -| si:dkey-6i22.5 -0.225784 1
gig2q -| si:dkey-185e18.7 -0.225735 1
aga -> galm 0.225609 1
si:dkey-185e18.7 -> cenph 0.22555 1
erg -| zgc:110216 -0.225351 1
zgc:110340 -> zgc:110224 0.225347 1
cdkn2d -> cdkn2d 0.225097 1
ube2t -| atic -0.225013 1
tat -> si:ch211-18i17.2 0.224773 1
